slug,resource_id
res-drug-haemophilus-influenzae-type-b-vaccine-hib-vaccine,ff82bc1be8974b2eb83e071d105d75be
res-drug-pneumococcal-conjugate,46aeba5fd8064595b962e6a9088bad18
res-drug-rotavirus-vaccine,07c0bd39ed724e9bb666f5e69b642ddd
res-drug-folic-acid,5e109920c72449589b4b21c671855c63
res-drug-tetanus-and-adult-diphtheria-td,fc775545a48e4c6c955ee198c31017c3
res-drug-metformin,849a148231854bbe878e4da9090dfe25
res-drug-insulin,432441fb23c84990af1b610d29125f84
res-drug-glucose,ed95c33165d4429dbd474f03da798d66
res-drug-benzathine,3d46e85ee7024a4bac85cdf31b92eab3
res-drug-iodine,3fd49a05958f4a28a72793063bbaaf3b
res-drug-aspirin,ca8af7fa20a54ea88cd4b9837027e071
res-drug-pentavalent-vaccine-dtp-hepb-hib,9df1e27d563b49e6bf82e3deb1d25cbd
res-drug-indomethacin-taj,34e529eb602b48b09cd467d2ae0fb849
res-drug-iron-folic-acid-supplementation-new,1a1efd554411461e8a659a71dbd0cd92
res-drug-inactivated-polio-vaccine-ipv,a00dfc03855141ce825025532e91f5c2
res-drug-pentavalent-vaccine,7796f6b1dfeb41cc998f2514c71729c0
res-drug-amikacin,4d41fd1d521044a5aeec5c2f24657393
res-drug-centchroman-pills,870974fe3da946698546b4fb49e61a8a
res-drug-art-regimen,7c0e2bf0174c4a9bb4b267fce46f08c9
res-drug-carboprost,2769f1a1395b4cf0add7b6296614f3ac
res-drug-nevirapine,cd602b24132443608196ea19ac2f2c5a
res-drug-tenofovir,4f2089bff43c49c8b282d62c5a328a2c
res-drug-contraceptives-birth-control-pills-indonesia-old,8c883cc9962c411cb290aa97bcdb980a
res-drug-implants-indonesia-old,0b0f019b884c4abd9e6aa081cf1fb16f
res-drug-misoprostol-rectally-indonesia,7cce8d79273449789212c8a8105dfbac
res-drug-mms-multiple-micronutrient-supplement-indonesia,6a7e5dda4df04c26832ad53eb2d09107
res-drug-nicardipine-indonesia,30a8b6193fe84e92841dc44a82232a05
res-drug-syntometrine-indonesia-old,e1989e49a22e4755819026db1014824a
res-procedure-cleaning-storage-and-housekeeping,42fb752434b849ab9b7dcf93b1c30e4f
res-procedure-mixing-alcohol-based-handrub,1c38181e71894010ad70d27ab05cbaff
res-procedure-mixing-chlorine-solution,592eb388939b4f3ebe9ade760ccfe1d3
res-procedure-nepal-housekeeping,c089797ec4f84203912927eefb4a692d
res-procedure-personal-protective-equipment-ppe,4bab33facea24705a9dea8ce90dc28ab
res-procedure-preparation-of-hypochlorite-solution,d4c4b9fa72034455b01cdceb6e7ebd79
res-procedure-spill-management,69d2769f1a29468b81e2252bec199177
res-procedure-sterilization,5ac598b876354c02aa9d0aeee028855e
res-procedure-cleaning-manual-vacuum-aspirator,17dfeab0fa5c487d83550dc1b49365e6
res-procedure-intracervical-block,74efcadab64949448aae0e5c09daa291
res-procedure-intravenous-access-adult-ind,d7426aea02b5400f9af52f0a338d9f1c
res-procedure-urinary-catheter-old,78621d0c580a48e99adb4c26b87d8b4a
res-procedure-urine-catheter,c1aed2d21e604f2bb5f38e3cd3024bb0
res-procedure-follow-up-visits,28d1d21514d6482ebaefaacb7c8424c2
res-procedure-intramuscular-injection-im,88e78324ad8a482095fa2fc4d694185d
res-procedure-intravenous-access-equipment-adult,20c229dad0ec4c8c93741fac77ff9fbe
res-procedure-breastfeeding-ind,c72d725542614ce19e7c5c978179475e
res-procedure-breastfeeding,2728846f3b014081ad6017e8cd44271f
res-procedure-early-detection-of-pph,3ec468cad4ca43ba8cd6f09cde6c50fe
res-procedure-foetal-heart-rate,07da6087537c4608a2d78f446d62220e
res-procedure-vacuum-extractor,2a2b034027b14cd387eef54284822768
res-procedure-aortic-compression,f3ead00ec82b4c308dfc16f84d19d596
res-procedure-condom-balloon-tamponade,422f554c80004c23b4554b0d9f8e76db
res-procedure-non-pneumatic-anti-shock-garment,b7230701974342dab185853be1f13c46
res-procedure-perineal-tear-repair,4fac44f7cc554d0f9db5a03074709c17
res-procedure-breastfeeding-new-2025,9a6fca483d5348e099f0903f14b0efc6
res-procedure-fr-intravenous-access-equipment,2ab6bb6e71a54d94a148f7f6e4611f94
res-procedure-intravenous-access-equipment-newborn,e354b93cdddd444897ee6e568e7808a6
res-procedure-nasogastric-tube,8311765d069c492fbf27c4776318e050
res-procedure-deinfibulation-ethiopia,b6aa907a17cc4d0093f65b945e960cb4
res-procedure-deinfibulation,61d3cbcd08ae4dcf9089f75b880885fd
res-procedure-expression-of-breast-milk-storage-ind,4fe3825e08304e6cad0388ecd5f15835
res-procedure-kangaroo-mother-care,581635a639a943d5b588cb8cf23603a8
res-procedure-naso-and-orogastric-tube,909a13394bae4a02955393981c008fc2
res-procedure-are-pregnant-women-an-at-risk-group,73d928e741204e89b456ea1c26ecb274
res-procedure-bio-medical-waste-management,825b42ded21444279e389df10adc6411
res-procedure-breastfeeding-and-covid-19,687ab512b0c84c5b93e37cb2e853a80c
res-procedure-care-during-pregnancy-and-birth,f88149b578204406a4d540c6304a4ec4
res-procedure-donning-and-doffing,4f4fb37a217e49b29a0bb3eb88c0af1e
res-procedure-five-steps-to-beat-covid-19,6a499921ab0f43208f7ba38a5b5b31ca
res-procedure-how-to-make-sodium-hypochlorite-solution,d263277f860140959b899d4fc229455e
res-procedure-minimize-the-spread-of-covid-19-at-the-health-facility,9d37896294e74fbb87918c2deec9900c
res-procedure-symptoms-of-covid-19,f0770b43d98e4ec3ac24b834808bbe60
res-procedure-vertical-transmission-and-newborn-risk,0e53a4e2e86c487dacdc56c1cf6af9e8
res-procedure-abdominal-examination,0b66466e816a4ba1b85d62736cd32f72
res-procedure-abdominal-examination-new-2025,21110967133d4dbfad226cadbfef4523
res-procedure-ais-observe-fetal-condition,18884702875d49339e9308b3ead5e0e0
res-procedure-calculate-due-date-and-ga,964bd0004d1349748b8daf4f0702c08e
res-procedure-ias-asses-the-delivery-progress-latent-phase,9777192f66c8475fb51d4dd24808caa4
res-procedure-ias-assess-the-delivery-progress-active-phase,3079aa8291bc48f29d98f16d67b747ed
res-procedure-ias-assess-the-delivery-progress-decide-stage-of-labour,1293afcdd43b4fb39ac9c38b366d0219
res-procedure-ias-assess-the-delivery-progress-second-phase,a862b95117e840e0b01c7e79cc4476f4
res-procedure-ias-immediate-response-to-an-emergency-for-pregnant-woman,980b2b7af16149cdbbfd0bf0164170bb
res-procedure-ias-listen-to-a-woman-s-complaint,8bd95ef549654f7a915ae9e3ed0f35c6
res-procedure-ias-observe-maternal-condition,60ed0b8c3149480f95d8684c0a71baa1
res-procedure-ias-women-s-general-information-and-obstetrical-history,16281217ae5845c9a1ca6c6310ca35bb
res-procedure-initial-assessment-sheet,e3ae6545f95e4471a205b09f5931326a
res-procedure-initial-assessment,6134892fe4fb4dc3a1d95934f5a771e4
res-procedure-monitoring,99f9a510e9ce44ab84bfc527783e206a
res-procedure-vaginal-examination,0d8b840703c04f2da64a64eb1b16a265
res-procedure-disinfection-of-newborn-care-unit,49a9359e22264332aa21d24689443027
res-procedure-india-umbilical-vein-catheterisation,115212d0867144a58f369a6e9eb1dc31
res-procedure-dating-the-pregnancy,c44dfe9c0f6346ba884cdd2d879c8b54
res-procedure-legal-provision,6381ac05eeb34df984d64d98d69a4eda
res-procedure-physical-examination,e10eb6f62ca847efb5c8befca7a33b41
res-procedure-screening-tools,9bbba96106714cafa366b4693613f427
res-procedure-caring-for-the-carer,3562607fb61b4999865d0e183c3b5e45
res-procedure-screening-tool-in,5cfe3db129a64fd78e03b45b91217595
