slug,klp_id
klp-2-skin-to-the-mother,ba8ac7052d15454390d4fc18293cf62f
klp-2-first-step,fb0347a4f5a74ad6ac919dcac8948801
klp-2-meconium-suction,4c0fb6b259074d138c9d7b5f3b46188c
klp-3-correct-order-suction,1ca70b2d68d5499494a763aed1fd07fc
klp-2-stimulation-the-newborn,a81c0a3c216f4c49a404ab19560054f8
klp-2-newborn-is-not-breathing-well,6de74a282cec450d9a4d5b4ab7575934
klp-1-when-to-resuscitate,76cb5a4441fb49288c3bc03c60affef9
klp-3-airway-call-for-help,a63ebb3d079d4774b3b6f584f1bc6a85
klp-2-airway-position-of-head,0e6b0fa9f1a1401a88b928754343c817
klp-1-airway-position-of-mask,d61e3d88f03643a8a0ef1e3bf92a165e
klp-1-airway-effective-ventilation,33287fc2a380489b8272b91590e4c383
klp-2-number-of-inflation-breaths,9d6c280587884283ba76dd75449dfb06
klp-3-jaw-thrust,946bb4f37a44417d8fa1397419280b5a
klp-2-if-no-chest-movements,fc9770443c5b453987d153a181e93545
klp-2-inflation-breaths,a9b1cab4c7e044428e457575c30a16db
klp-2-ventilation-breath,9ff79bc9b22e41c396c775751524d169
klp-1-not-breathing-well,6b392b280a504de99cdf1934a6475fa8
klp-1-continue-ventilation-breaths,3be64587223b4721af1a1e0815a3f5b2
klp-1-most-important-ventilation-breaths,43e3de0033dd4e939bbbfd52eb21ed4c
klp-3-rhythm-ventilation-breaths,cf769b4b19a94e18b7d5b70174b86d98
klp-3-good-ventilation,ede1acbdca294191b72c8c736f5af875
klp-3-breathing-assessment2,1185c645b9744657bc8bf8d79f789f5b
klp-1-breathing-assessment1,7f8c3f5161164c23b9d7a6dfd5376472
klp-1-breathing-assessment-continued,e8a34e5b1a684819a1f23e3b9cf05858
klp-3-action-if-breathing-well,8c32adeba3f24f5caea4ca4d20a621a4
klp-3-nr-give-oxygen,27881eba37cd4cbaaceedccbb349009d
klp-2-when-to-stop,ccb777c82d824f31a38bb490648eab76
klp-3-resuscitation-stop-next,bfe0b2dd89de4679b344f111939c110c
klp-1-skin-to-skin-and-breastfeeding,ab68c007dc9544f29f4ddfa40857681b
klp-3-monitoring,ff5581462d3d4644b69611577972f5fa
klp-3-low-birth-weight-and-resuscitation,08fa3685a07d476fa84e18655af7aa57
klp-3-challenge-low-birth-weight,f92339eadb054284a42bb1b459caec49
klp-1-soap-wet-container,8b30f173e8be400ba281adebed8992c6
klp-1-air-dry-hands,5667022a7ae54076853b9f6342a726bf
klp-3-delivery-of-membranes,9dbca34e709e423080061d952b66622c
klp-2-estimation-of-blood-loss,981c87f6d0e94c2ea898c29972737236
klp-1-maternal-death,ce47c57ee9c0414aabf37325ec4297b0
klp-1-loss-of-tone,19c73c61653c41809bcb24808f96b3e6
klp-1-call-for-help-then-stop-the-bleeding,3c5abe09970342c1a9e2921ceb4b89ec
klp-1-symptoms-for-pph,f57e7b3503d144deb9833cd633d85872
klp-1-occult-bleeding,64d468828bde42cbb1ccdb2210c199a0
klp-1-moderate-bleeding-characteristics,99a273ff1ea74755905f804211eb26fa
klp-3-uterine-massage,0ef8c67d4af244c6b11452c734820b28
klp-2-empty-the-bladder,84c9157f54f14e1d9d08bfb1367312c7
klp-1-vital-signs,2baf52ce5d984f87ab51b8e41f8636c4
klp-1-strong-bleeding-characteristics,de2ead90d4b84931a6dd8deed4c551ee
klp-1-bimanual-compression,6c3ce95647544f338850930f29e59b9b
klp-2-bimanual-compression-procedure,d7bb39104d5648e29264f1ed1f7a4f04
klp-2-bimanual-compression-type-of-gloves,8e784c947af845ce80dc60bcdc6df18b
klp-3-pph-drugs,ea6ea05930cb43a2b5f4b1b1ed1ea174
klp-2-carbetocin,5af9e4339d7446fca85901f4306881ae
klp-3-ergometrine,e8a6f7822da942ce8fb139ba246d3da3
klp-1-prioritize-manual-maneuvers,6bf076fe7d30411d8318c740625bb470
klp-2-bleeding-from-a-vaginal-tear,de4a26b96b24436292d2d2b1b9745860
klp-2-always-do-a-rectal-exploration,304adf7c115b41f59bde1f72ab7c4a16
klp-2-placental-tissue-missing,f10993ccdc294d1681ef9fa2b3b4976e
klp-2-treatment-if-there-is-placental-tissue-missing,1b9e224381514dc28ba5bdaef8c13683
klp-3-removal-tissue,005a59be98da4bae98bba72281d19807
klp-2-pph-resuscitation,9840c14c9bec4b42951da40452a41011
